0,1,2,3,4,5,6,7
Mary C. Hughes,14-Dec-1921,Foundered,Off Thatchers Island,Not Stated,February 1922,82,
Percy R. Pyne II,14-Dec-1921,Disabled,Jacksonville,Sails damaged,February 1922,83,
Adour,15-Dec-1921,Heavy Weather,Greenock,Slight Damage,February 1922,82,
Alice Cooke,15-Dec-1921,Disabled,Honolulu,Not Stated,February 1922,82,
Astral,15-Dec-1921,Fire,East Boston,Heavy damage,February 1922,82,
Graham,15-Dec-1921,Collision,"East of Sea Girt, New Jersey",Slight Damage,February 1922,82,
Jean Smith,15-Dec-1921,Rough Weather,Near  Lunenberg,Sails torn,February 1922,82,
Lake Farley,15-Dec-1921,Disabled,At Sea,Engine trouble,February 1922,82,
Panama,15-Dec-1921,Collision,"East of Sea Girt, New Jersey",Slight Damage,February 1922,83,
Schodack,15-Dec-1921,Ashore,Stonehorse Shoal,Not Stated,February 1922,83,
Consort,16-Dec-1921,Collision,New York,Not Stated,February 1922,82,
Howard Russell,16-Dec-1921,Ashore,Penobscot Bay,Total loss,February 1922,82,
Pioneer,16-Dec-1921,"Gale, On Rocks",Near Prince Rupert,Slight Damage,February 1922,83,
Cabo Espartel,17-Dec-1921,Grounded,Schuylkill River,Not Stated,February 1922,82,
Fotia,17-Dec-1921,Ashore,Near Limerick,Leaking,February 1922,82,
Storm King,17-Dec-1921,Disabled,At Sea,Broken tail shaft,February 1922,83,
Viccola,17-Dec-1921,Wrecked,South of Cape Race,Total loss,February 1922,83,
William J. Winant,17-Dec-1921,Fire,Brooklyn,Not Stated,February 1922,83,
A. T. Kinney,18-Dec-1921,"Gale, Collision",Buffalo,Leaking,February 1922,82,
Amazon,18-Dec-1921,Collision,Buffalo,Plates damaged,February 1922,82,
Arsa,18-Dec-1921,Disabled,Bermuda,Propeller blades broken,February 1922,82,
Ball Brothers,18-Dec-1921,Gale,Buffalo,Not Stated,February 1922,82,
Burkeland,18-Dec-1921,Disabled,Bermuda,"Leaking, sails lost",February 1922,82,
C. H. McCullough,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
C. S. Robinson,18-Dec-1921,"Gale, Ashore",Buffalo,Jettison cargo,February 1922,82,
Carmi Thompson,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
Cuyler Adams,18-Dec-1921,Gale,Buffalo,Not Stated,February 1922,82,
Dorothy Cook,18-Dec-1921,Fire,At Sea,Abandoned,February 1922,82,
E. L. Ford,18-Dec-1921,"Gale, Collision",Buffalo,Heavy damage,February 1922,82,
F. W. Hart,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
Frank C. Ball,18-Dec-1921,Gale,Buffalo,Plates damaged,February 1922,82,
Hoover and Mason,18-Dec-1921,"Gale, Ashore",Buffalo,Stern badly crushed,February 1922,82,
J. A. Campbell,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
J. C. Wallace,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
J. J. Turner,18-Dec-1921,"Gale, Collision",Buffalo,Slight Damage,February 1922,82,
J. L. Replogle,18-Dec-1921,"Ashore, Fire",Buffalo,Slight Damage,February 1922,82,
J. S. Ashley,18-Dec-1921,"Gale, Stranded",Buffalo,Jettison cargo,February 1922,82,
Joseph Sellwood,18-Dec-1921,"Gale, Ashore",Buffalo,Jettison cargo,February 1922,82,
Keybell,18-Dec-1921,Storm,Kingston,Bottom damaged,February 1922,82,
Keybell,18-Dec-1921,Gale,Kingston,Heavy damage,March 1922,124,
L. W. Hill,18-Dec-1921,Gale,Buffalo,Ashore,February 1922,82,
M. E. Farr,18-Dec-1921,"Gale, Ashore",Buffalo,Heavy damage,February 1922,82,
Marie Hooper,18-Dec-1921,Grounded,Off West Bank,Not Stated,February 1922,82,
Matthew Andrews,18-Dec-1921,"Gale, Collision",Buffalo,Not Stated,February 1922,82,
R. L. Ireland,18-Dec-1921,"Gale, Stranded",Buffalo,Jettison cargo,February 1922,83,
Robert L. Ireland,18-Dec-1921,Gale,Buffalo,Heavy Damage,March 1922,125,
Samuel Mather,18-Dec-1921,Gale,Buffalo,Lost shoe and rudder,February 1922,83,
Shenango,18-Dec-1921,Collision,Buffalo,Leaking,February 1922,83,
Thomas Barlum,18-Dec-1921,"Gale, Collision",Buffalo,Slight,February 1922,83,
W. A. Amberg,18-Dec-1921,Gale,Buffalo,Not Stated,February 1922,83,
W. P. Snyder,18-Dec-1921,"Gale, Collision",Buffalo,Not Stated,February 1922,83,
West Kasson,18-Dec-1921,Disabled,Bermuda,Propeller loose,February 1922,83,
Blossom Heath,19-Dec-1921,Collision,Red Hook Flats,Not Stated,February 1922,82,
Canadian Pacific,19-Dec-1921,Ashore,Potlier Pass,Heavy damage,February 1922,82,
Robert P. Murphy,19-Dec-1921,Collision,Red Hook Flats,Headgear carried away,February 1922,83,
Texas Maru,19-Dec-1921,Disabled,At Sea,Leaking badly,February 1922,83,
Yoko Maru,19-Dec-1921,Tanks Leaking,Port Townsend,Listed,February 1922,83,
Jessie Lee,20-Dec-1921,"Gale, Leaking",Near Southport,Beached,February 1922,82,
La Bette,20-Dec-1921,Grounded,Ship Island Bar,Undamaged,February 1922,82,
Shickshinny,20-Dec-1921,Turbine Trouble,At Sea,Slight Damage,February 1922,83,
William Bisbee,20-Dec-1921,Disabled,Nassau,Lost foremast and leaking,February 1922,83,
Alleghany,21-Dec-1921,Grounded,Off Sandy Hook,Not Stated,February 1922,82,
Cambridge,21-Dec-1921,Hurricane,"Near Claiborne, Maryland",Grounded,February 1922,82,
Dunmore,21-Dec-1921,Not Stated,Minots Light,Sank,February 1922,82,
K. R. Kingsbury,21-Dec-1921,Disabled,Panama,Propeller blades lost,February 1922,82,
Karma,21-Dec-1921,Grounded,"St. Johns, Newfoundland",Bottom damaged,February 1922,82,
Mambi,21-Dec-1921,Disabled,Cove Point,Steerer disabled,February 1922,82,
New England,21-Dec-1921,Disabled,Northeast of Chebucto Head,Not Stated,February 1922,82,
Allaguash,22-Dec-1921,Heavy Weather,"Ponta Delgada, Azores",Slight Damage,February 1922,82,
Arizonan,22-Dec-1921,Disabled,Southeast of Highlands,Engine disabled,February 1922,82,
Arno  Mendi,22-Dec-1921,Ashore,"Vegesack, Germany",Not Stated,February 1922,82,
Bayway,22-Dec-1921,Collision,Dustendije,Rudder post damaged,February 1922,82,
Donna  Lane,22-Dec-1921,Disabled,Honolulu,Not Stated,February 1922,82,
Lone Star State,22-Dec-1921,Grounded,"Chester, Pennsylvania",Not Stated,February 1922,82,
Monte Grapps,22-Dec-1921,Grounded,Marcus Hook Bar,Not Stated,February 1922,82,
West Norranus,22-Dec-1921,Ashore,"Vegesack, Germany",Not Stated,February 1922,83,
Amelia,23-Dec-1921,Collision,New York,Not Stated,February 1922,82,
Henry R. Mallory,23-Dec-1921,Collision,Off Liberty,Slightly damage to the stern,February 1922,82,
Herbert May,23-Dec-1921,Disabled,At Sea,Not Stated,February 1922,82,
Sanford,23-Dec-1921,Collision,Off Liberty,Upper works badly damaged,February 1922,83,
Alda,24-Dec-1921,Running Ice,At Sea,Maybe total wreck,February 1922,82,
Anna Camp,24-Dec-1921,Ashore,Chesapeake Bay,Not Stated,February 1922,82,
Florence Harvey,24-Dec-1921,Grounded,Mobile,Heavy damage,March 1922,124,
Panola,24-Dec-1921,Disabled,"The Needles, Isle of Wight",Engine disabled,February 1922,83,
Willpolo,24-Dec-1921,Fire,West of San Pedro,Damage to bridge space,February 1922,83,
Greensboro,25-Dec-1921,Fire,Norfolk Harbor,Heavy damage,February 1922,82,
Jean McKay,25-Dec-1921,Collision,Yucatan Channel,Heavy damage,March 1922,124,
Tasmania,25-Dec-1921,Collision,Yucatan Channel,Not Stated,March 1922,125,
Florence Harvey,26-Dec-1921,"Dragged Anchor, Ashore",Fort Morgan,"Sank, Total Loss",February 1922,82,
G. J. Cherry,26-Dec-1921,Gale,Cape Hatteras,Damage to rigging and water tank,February 1922,82,
Norfolk,26-Dec-1921,Disabled,New York,Steam pipe broke,February 1922,82,
Steel Worker,26-Dec-1921,Disabled,Seattle,Hull damaged,February 1922,83,
Jethou,27-Dec-1921,Ashore,Martin Garcia,Not Stated,February 1922,82,
Johan Paulsen,27-Dec-1921,Floating Ice,Astoria,Jettison cargo,February 1922,82,
Gold West,28-Dec-1921,Disabled,At Sea,Not Stated,February 1922,82,
Reine-des-Mers,28-Dec-1921,Disabled By Storm,At Sea,Abandoned,February 1922,83,
Virginia,28-Dec-1921,Not Stated,"Tacoma, Washington",Sank,February 1922,83,
Defender,29-Dec-1921,Ashore,Petries Ledges,Total loss,February 1922,82,
G. J. Cherry,29-Dec-1921,Gale,Florida Coast,Damage to rigging,February 1922,82,
Mount Evans,29-Dec-1921,Disabled,East of Fire Island,Not Stated,February 1922,82,
Paul E. Simone,29-Dec-1921,Ashore,Dog Island,Not Stated,February 1922,83,
Percey R. Pine II,29-Dec-1921,Fire,Jacksonville,Considerable damage,February 1922,83,
Canadian Voyageur,30-Dec-1921,Broke Anchor,Halifax,Ashore,February 1922,82,
Sonoma,30-Dec-1921,Disabled,"Sydney, New South Wales",Propeller shaft broke,February 1922,83,
Abie Keast,31-Dec-1921,Collision,Parrsboro,Slight Damage,February 1922,82,
Clarksburg,31-Dec-1921,Heavy Weather,At Sea,Smashed steerer,March 1922,124,
Flora M,31-Dec-1921,Collision,Parrsboro,Slight Damage,February 1922,82,
Nellie Eaton,31-Dec-1921,"Collision, Ashore",Near Parraboro,Full of water,February 1922,82,
Nipsic,31-Dec-1921,Struck Rock,Sakito Harbor,Rudder damaged,February 1922,82,
Lake Elmont,1-Jan-1922,Grounded,Cartagena Lighthouse,Tanks leaking,February 1922,82,
Mapledawn,1-Jan-1922,Gale,"St. John, New Brunswick",Damaged,February 1922,82,
Western Ocean,1-Jan-1922,Disabled,New York,Feed pump disabled,February 1922,83,
Exeter City,2-Jan-1922,Collision,Barry Island,Heavy damage,February 1922,82,
H. C. Folger,2-Jan-1922,Stranded,Hillsboro,Undamaged,February 1922,82,
Manatee,2-Jan-1922,Gale,Georges Harbor,Ashore,February 1922,82,
Marion,2-Jan-1922,Disabled,Rio Janiero,"Leaking, rudder stock broken",February 1922,82,
Nat L. Gordon,2-Jan-1922,Disabled,Guantanamo,Leaking,February 1922,82,
Westerward Ho,2-Jan-1922,Struck Rock,Hell Gate,Hole in bottom,February 1922,83,
Conemaugh,3-Jan-1922,Collision,Tampico,Not Stated,March 1922,124,
Monongahela,3-Jan-1922,Collision,Tampico,Not Stated,March 1922,124,
Port Reath,3-Jan-1922,Disabled,Barbados,Engine trouble,February 1922,83,
Portreath,3-Jan-1922,Disabled,Barbados,Engine trouble,February 1922,83,
De la Salle,4-Jan-1922,Fire,Bremen,Damage to cargo,February 1922,82,
Effie Maud,4-Jan-1922,Gale,Off St. Martins,Total loss,February 1922,82,
King City,4-Jan-1922,Struck Dock,Havre,"Damage to stem, leaking",February 1922,82,
North Dakota,4-Jan-1922,Collision,Cape Cod,Not Stated,February 1922,82,
Ruby L.  Pentz,4-Jan-1922,Abandoned,At Sea,Set on fire,February 1922,83,
Sommelsdyk,4-Jan-1922,Fire,At Sea,Not Stated,February 1922,83,
T. K. Bentley,4-Jan-1922,Collision,Cape  Cod,Lost headgear,February 1922,83,
Cornish Point,5-Jan-1922,Disabled,Off Cape Sable,Engine trouble,February 1922,82,
Doris,5-Jan-1922,Grounded,Nantucket,Heavy,February 1922,82,
No. 228,5-Jan-1922,Adrift,Off Cape Charles,Not Stated,February 1922,82,
O. T. Waring,5-Jan-1922,Ashore,Shell Bank,Undamaged,February 1922,83,
Telumah,5-Jan-1922,Disabled,Butlers Flat Light,Leaking,February 1922,83,
Enid E. Legge,6-Jan-1922,Disabled,"Channel, Newfoundland",Sails lost,March 1922,124,
Frogner,6-Jan-1922,Disabled,Newport News,Hull damaged,February 1922,82,
Brewster,7-Jan-1922,Grounded,Jacksonville,Undamaged,February 1922,82,
"C. C. Mengel, Jr.",7-Jan-1922,Ashore,Morant Keys,Total loss,March 1922,124,
Frederick H,7-Jan-1922,Ashore,Negrotown Point,Unknown,February 1922,82,
Atalaya,8-Jan-1922,Fire,At Sea,Not Stated,March 1922,124,
Messenger of Peace,8-Jan-1922,Disabled,"Wilmington, North Carolina",Leaking,March 1922,124,
Providencia,8-Jan-1922,Disabled,San Francisco,Engine trouble,March 1922,125,
Sarah Eaton,8-Jan-1922,Ashore,"Campobello, New Brunswick",Total loss,March 1922,125,
W. A. Marshall,8-Jan-1922,Sprang Leak,Northeast of Boston Lightship,Sank,March 1922,125,
Andijk,9-Jan-1922,Ashore,Flushing,Not Stated,March 1922,124,
Annette Rolph,9-Jan-1922,Grounded,Near Seattle,Undamaged,March 1922,124,
Isabel,9-Jan-1922,Stranded,Sagua Bay,Undamaged,March 1922,124,
Nellie Eaton,9-Jan-1922,Ashore,Mulholland Point,Not Stated,March 1922,124,
W. H. Smith,9-Jan-1922,Not Stated,Nassau,Total loss,March 1922,125,
British Rose,10-Jan-1922,Fire,London,Damage to stoke hold,March 1922,124,
Charlot,10-Jan-1922,Disabled,At Sea,Engine disabled,March 1922,124,
City of Tokio,10-Jan-1922,Disabled,Honolulu,Not Stated,March 1922,124,
Crook,10-Jan-1922,Disabled,At Sea,Leaking,March 1922,124,
Oakley C. Curtis,10-Jan-1922,Ashore,Hampton Roads,Undamaged,March 1922,125,
Roy Somers,10-Jan-1922,Disabled,Honolulu,Sails lost,March 1922,125,
Sagadahoc,10-Jan-1922,Propeller Shaft Damaged,Alexandria,Jettison cargo,March 1922,125,
A. C. Bedford,11-Jan-1922,Disabled,Staten Island,Not Stated,March 1922,124,
Clara,11-Jan-1922,Hurricane,Southeast of Barnegat,Lost,March 1922,124,
Grace,11-Jan-1922,Hurricane,Southeast of Barnegat,Lost,March 1922,124,
Havana,11-Jan-1922,Not Stated,"Toma River, New Jersey",Sank,March 1922,124,
Helen,11-Jan-1922,Hurricane,Southeast of Barnegat,Lost,March 1922,124,
Horace  A. Allyn,11-Jan-1922,Gale,Barnegat,Water in hold,March 1922,124,
Ormond,11-Jan-1922,Gale,Barnegat,Heavy damage,March 1922,125,
Western Ocean,11-Jan-1922,Disabled,Southeast of Cape Lookout,Engine trouble,March 1922,125,
Constantinople,12-Jan-1922,Collision,Erie Basin,Undamaged,March 1922,124,
Kobenhaven,12-Jan-1922,Disabled,San Francisco,Propeller Damaged,March 1922,124,
Mark H. Gray,12-Jan-1922,Wrecked,Lark Harbor,Total loss,March 1922,124,
Newman,12-Jan-1922,Hit Breakwater,Conneaut,Slight Damage,March 1922,125,
Orcus,12-Jan-1922,Disabled,Lima,Pumps damaged,March 1922,125,
Romsdalshorn,12-Jan-1922,Disabled,Glasgow,Leaking,March 1922,125,
Union Jack,12-Jan-1922,Disabled,Bay of Bulls,Sails lost,March 1922,125,
Canadian Observer,13-Jan-1922,Ashore,Discovery Passage,Undamaged,March 1922,124,
James M. W. Hall,13-Jan-1922,Waterlogged,At Sea,Not Stated,March 1922,124,
Mabel A. Frye,13-Jan-1922,Disabled,Cape Henry,Windlass broke,March 1922,124,
Marie De Ronde,13-Jan-1922,Collision,Staten Island,Not Stated,March 1922,124,
Norheimsund,13-Jan-1922,Heavy Weather,Harbor Grace,Slight Damage,March 1922,124,
Thomas P. Beal,13-Jan-1922,Fire,Seattle,Heavy damage,March 1922,125,
William Russell,13-Jan-1922,Ashore,Chesapeake Bay,Not Stated,March 1922,125,
Williams no. 23,13-Jan-1922,Not Stated,Coney Island Creek,Sank,March 1922,125,
Depete,14-Jan-1922,Ashore,Callao,Jettison cargo,March 1922,124,
Half Moon,14-Jan-1922,Disabled,Malta,Leaky fue tank,March 1922,124,
Isis,14-Jan-1922,Collision,Rio Janiero,Sank,March 1922,124,
Josephine,14-Jan-1922,Disabled,Reedy Island,Leaking,March 1922,124,
Robert Fulton,14-Jan-1922,Disabled,Off Hampton Roads,Not Stated,March 1922,125,
West Nilus,14-Jan-1922,Disabled,Falmouth,Leaking,March 1922,125,
Freeman,15-Jan-1922,Collision,Vineyard Haven,Damage to headgear,March 1922,124,
Manalbro,15-Jan-1922,Collision,Vineyard Haven,Slight Damage,March 1922,124,
Barbara W.,16-Jan-1922,Not Stated,Beaver Harbor,Lost deckload,March 1922,124,
Matinicock,16-Jan-1922,Disabled,At Sea,Engine trouble,March 1922,124,
Rose M.,16-Jan-1922,Ashore,Azores,Waterlogged,March 1922,125,
Blackheath,17-Jan-1922,Ashore,Gibraltar,Not Stated,March 1922,124,
C. P. Raymond,17-Jan-1922,Not Stated,Hoboken,Sank,March 1922,124,
General Rawlinson,17-Jan-1922,Grounded,Leixoes,Damage to cargo,March 1922,124,
H. K. Waage,17-Jan-1922,Leaking,Stornoway,Jettison cargo,March 1922,124,
Ida M. Keith,17-Jan-1922,Fire,Sandusky,Total loss,March 1922,124,
Bertha A.,18-Jan-1922,Collision,Southeast of Highlands,Bow stove in,March 1922,124,
G. F. C. T. No. 8,18-Jan-1922,Lost,Gulf of Mexico,Not Stated,March 1922,124,
Wilhelmina,18-Jan-1922,Disabled,San Francisco,Engine disabled,March 1922,125,
Agnes P. Duff,19-Jan-1922,Not Stated,"Renews, Newfoundland",Total loss,March 1922,124,
Eileen Lake,19-Jan-1922,Not Stated,Pierre Banks,Sank,March 1922,124,
F. D. Asche,19-Jan-1922,Disabled,Newport News,Not Stated,March 1922,124,
Eastern Sun,20-Jan-1922,Disabled,"Norfolk, Virginia",Engine trouble,March 1922,124,
Fenchurch,20-Jan-1922,Disabled,New York,Rudder Trouble,March 1922,124,
Golden State,20-Jan-1922,Collision,Pensacola,Heavy damage,March 1922,124,
Honolulu Maru,20-Jan-1922,Disabled,New York,Engine trouble,March 1922,124,
Blanche C. Pendleton,21-Jan-1922,Collision,"Bodies Island, North Carolina",Watterlogged,March 1922,124,
Digby,21-Jan-1922,Disabled,"St. Johns, Newfoundland",Damage to propeller shaft,March 1922,124,
Eastern Breeze,21-Jan-1922,Disabled,Halifax,Steerer Trouble,March 1922,124,
Eleanor,21-Jan-1922,Ashore,Portsmouth,Undamaged,March 1922,124,
I. C. White,21-Jan-1922,Collision,"Bodies Island, North Carolina",Not Stated,March 1922,124,
Mod,21-Jan-1922,"Gale, Disabled",At Sea,Sank,March 1922,124,
Princeton,21-Jan-1922,Fire,"Bayonne, New Jersey",Slight Damage,March 1922,125,
West Chopaka,21-Jan-1922,Collision,At Sea,Not Known,March 1922,125,
Arcturus,22-Jan-1922,Gale,At Sea,Lost lifeboat,March 1922,124,
Asquith,22-Jan-1922,Gale,At Sea,Sinking,March 1922,124,
Courtney C. Houck,22-Jan-1922,Gale,Thatchers Island,Sails split,March 1922,124,
L. A.  Dunton,22-Jan-1922,"Gale, Grounded",Yarmouth,Undamaged,March 1922,124,
Lord Ormonde,22-Jan-1922,Not Stated,East of Halifax,Sank,March 1922,124,
Mildred Adams,22-Jan-1922,Storm,At Sea,Mainboom lost,March 1922,124,
Venusia,22-Jan-1922,Gale,At Sea,Slight Damage,March 1922,125,
Westward Ho,22-Jan-1922,Collision,Brooklyn,Not Stated,March 1922,125,
Mary Bradford Peirce,23-Jan-1922,Gale,At Sea,Damage to rigging,March 1922,124,
Arethusa,24-Jan-1922,Disabled,Cape Fear,Tail shaft broke,March 1922,124,
Buckeye State,24-Jan-1922,Fire,San Francisco,Slight Damage,March 1922,124,
Giovanna Florida,24-Jan-1922,Fire,Portland,Slight Damage,March 1922,124,
Helen B. Sterling,24-Jan-1922,Leaking,At Sea,Abandoned,March 1922,124,
Modica,24-Jan-1922,Disabled,Horta,Engine trouble,March 1922,124,
Oconee,24-Jan-1922,Ashore,Point Mayai,Not danagerous,March 1922,125,
Rawlinson,24-Jan-1922,Not Stated,Oporto,Sank,March 1922,125,
Tuckahoe,24-Jan-1922,Disabled,"Portland, Maine",Not Stated,March 1922,125,
Vigan,24-Jan-1922,Beached,North Haitan Isles,Not Stated,March 1922,125,
Bradclyde,25-Jan-1922,Disabled,Honolulu,Engine trouble,March 1922,124,
Brunswick,25-Jan-1922,Disabled,Near San Francisco,Tail shaft broke,March 1922,124,
Bryssel,25-Jan-1922,Ashore,Governor Island,Steerer broke,March 1922,124,
Catherine,25-Jan-1922,Grounded,Ship John Shoals,Undamaged,March 1922,124,
Eleanor F. Bartram,25-Jan-1922,Disabled,Nassau,Lost sails,March 1922,124,
G. J. Cherry,25-Jan-1922,Disabled,Savannah,Leaking,March 1922,124,
Lloyd,25-Jan-1922,Grounded,Shovelful Shoals,Undamaged,March 1922,124,
Pannonia,25-Jan-1922,Disabled,At Sea,Lost Rudder,March 1922,125,
Port Angeles,25-Jan-1922,Collision,"San Pedro, California","Heavy damage, leaking",March 1922,125,
West Caddoa,25-Jan-1922,Disabled,Savannah,Steerer broke,March 1922,125,
Willie A. Higgins,25-Jan-1922,Collision,"San Pedro, California",Heavy damaged,March 1922,125,
Aus,26-Jan-1922,Grounded,Alcatraz Island,Slight Damage,March 1922,124,
Carlton,26-Jan-1922,Collision,Cape Henry,Slight Damage,March 1922,124,
Commercial Pilot,26-Jan-1922,Grounded,Cape Maisi,Total loss,March 1922,124,
Daneholm,26-Jan-1922,Collision,Cape Henry,Slight Damage,March 1922,124,
Dix,26-Jan-1922,Grounded,Alcatraz Island,Hole in forepeak,March 1922,124,
Mississippi,26-Jan-1922,Gales,Banks of Newfoundland,Bow rail broke,March 1922,124,
Princess Matoika,27-Jan-1922,Storm,Near New York,Steerer disabled,March 1922,125,
Sioux,27-Jan-1922,Grounded,North River,Not Stated,March 1922,125,
Hallgjerd,28-Jan-1922,Gales,At Sea,Damage to deck and bulkwark,March 1922,124,
Hog Island,28-Jan-1922,Disabled,Gibraltar,Shafting disabled,March 1922,124,
Hubert,28-Jan-1922,Disabled,Santos,Steerer damaged,March 1922,124,
Mount Carroll,28-Jan-1922,Disabled,New York,Steerer Trouble,March 1922,124,
Optimist,28-Jan-1922,Sprang Leak,At Sea,Sank,May 1922,214,
Vellavia,28-Jan-1922,Disabled,At Sea,Propeller shaft disabled,March 1922,125,
West Hardaway,28-Jan-1922,Disabled,St. Michaels,Propeller blade lost,March 1922,125,
Cranford,29-Jan-1922,Disabled,Fayal,Machinery damaged,March 1922,124,
Empress,29-Jan-1922,Collision,"Halifax, Nova Scotia",Damage to bow plates,March 1922,124,
Charles R. Wiebe,30-Jan-1922,Disabled,At Sea,Pump trouble,March 1922,124,
Frank M. Deering,30-Jan-1922,Lost Anchor,Chesapeake Bay,Not Stated,March 1922,124,
Half Moon,30-Jan-1922,Collision,Near Norfolk,Heavy damage,March 1922,124,
Manning,30-Jan-1922,Disabled,Norfolk,Radio disabled,March 1922,124,
Optimist,30-Jan-1922,Waterlogged,Cape Race,Abandoned,March 1922,125,
R. W. McDonald,30-Jan-1922,Storm,At Sea,Sinking,March 1922,125,
Regulus,30-Jan-1922,Disabled,Falmouth,Steerer disabled,March 1922,125,
Robert & Arthur,30-Jan-1922,Gale,"Yarmouth, Nova Scotia",Baldy damaged,March 1922,125,
W. H. Lee,30-Jan-1922,Fire,Halifax,Sank,March 1922,125,
Eskbridge,31-Jan-1922,Severe Weather,At Sea,Deck damaged,March 1922,124,
Malahat,31-Jan-1922,Disabled,Auckland,Rudder broke,March 1922,124,
Mary Hanlon,31-Jan-1922,Disabled,San Francisco,Engine trouble,March 1922,124,
Munwood,31-Jan-1922,Disabled,Delaware Breakwater,Bulkwark damaged,March 1922,124,
Skoghoim,31-Jan-1922,Ashore,Doboy Sound,Rudder gone,March 1922,125,
Calthrapa,1-Feb-1922,Disabled,St. Michaels,Engine trouble,March 1922,124,
Eastern Dawn,1-Feb-1922,Sea Cock Disabled,Baltimore,Sank at bow,March 1922,124,
Herman French,1-Feb-1922,Disabled,Gravesend Bay,Stripped gear,March 1922,124,
Kiowa,1-Feb-1922,Not Stated,Charleston,Lost deckload,March 1922,124,
Bronx,2-Feb-1922,Collision,New York,Unknown,March 1922,124,
Fulton,2-Feb-1922,Ashore,Dauro,Heavy damage,April 1922,171,
Paipoonge,2-Feb-1922,Disabled,Norfolk,Leaking,March 1922,125,
Queens,2-Feb-1922,Collision,New York,Not Stated,March 1922,125,
Albert F. Paul,3-Feb-1922,Not Stated,New York,Lost deckload,March 1922,124,
Felix,3-Feb-1922,Ashore,Leixoes,Not Stated,March 1922,124,
Gaspe,3-Feb-1922,Not Stated,At Sea,Abandoned,March 1922,124,
Joseph S. Zeman,3-Feb-1922,Grounded,Penobscot Bay,Not Stated,March 1922,124,
Matinicock,3-Feb-1922,Collision,Houston Ship Channel,Not Stated,March 1922,124,
Red hook,3-Feb-1922,Collision,Houston Ship Channel,Not Stated,March 1922,125,
Senator,3-Feb-1922,Leak,Chanee Harbor,Slight Damage,March 1922,125,
Southwestern Miller,3-Feb-1922,Collision,River Thames,Unknown,March 1922,125,
Owen J. McWilliams,4-Feb-1922,Disabled,Near New York,Disabled steam pumps,March 1922,125,
Western Maid,4-Feb-1922,Disabled,At Sea,Steerer gone,March 1922,125,
Australind,5-Feb-1922,Heavy Weather,At Sea,Rails and houses gone,March 1922,124,
Bessie A. White,5-Feb-1922,Ashore,"West of Smiths Point, L.I.",Total loss,March 1922,124,
Cragness,5-Feb-1922,Disabled,Halifax,Steerer disabled,March 1922,124,
Fred Baxter,5-Feb-1922,Disabled,Blunts Reef,Lost propeller,March 1922,124,
Ocmulgee,5-Feb-1922,Not Stated,At Sea,Lost deckload,March 1922,125,
Cape Ortegal,6-Feb-1922,Heavy Weather,At Sea,Slight Damage,April 1922,171,
City of Flint,6-Feb-1922,Heavy Weather,At Sea,Damage to cargo,March 1922,124,
City of Tokio,6-Feb-1922,Disabled,At Sea,Turbines disabled,March 1922,124,
Garfield,6-Feb-1922,Ashore,Columbian Coast,Undamaged,March 1922,124,
Harrison T. Beacham,6-Feb-1922,Hurricane,Florida Coast,Lost sails,March 1922,124,
Igotz Mendi,6-Feb-1922,Disabled,Fayal,Steam pipe broke,March 1922,124,
Mount Clay,6-Feb-1922,Disabled,Hamburg,Rudder damaged,March 1922,124,
Norheimsund,6-Feb-1922,Disabled,Gibraltar,Engine and boiler disabled,March 1922,124,
Avondale,7-Feb-1922,Broke Moorings,Magazine Point,Considerable damage,March 1922,124,
C & O No. 1,7-Feb-1922,Collision,Norfolk,Heavy damage,March 1922,124,
City of Columbus,7-Feb-1922,Disabled,New York,Engine trouble,March 1922,124,
Dilwya,7-Feb-1922,Broke Moorings,Magazine Point,Considerable damage,March 1922,124,
Donax,7-Feb-1922,Ashore,Malmo,Not Stated,March 1922,124,
Florence A. Duggan,7-Feb-1922,Dismasted,Gulf of Mexico,Waterlogged,April 1922,171,
Hagan,7-Feb-1922,Broke Moorings,Magazine Point,Considerable damage,March 1922,124,
Hoklar,7-Feb-1922,Broke Moorings,Magazine Point,Considerable damage,March 1922,124,
Miskianza,7-Feb-1922,Broke Moorings,Magazine Point,Considerable damage,March 1922,124,
Oscar E. Edwards,7-Feb-1922,Gale,At Sea,Deck damaged,March 1922,125,
S. G. Wilder,7-Feb-1922,Disabled,East of St. Johns River,Dismasted,March 1922,125,
Thistlemore,7-Feb-1922,Grounded,Cape Cod,Damage to bottom,March 1922,125,
Thistlemore,7-Feb-1922,Ashore,New York,Heavy leakage,April 1922,171,
A. H. Olwine,8-Feb-1922,Collision,Norfolk,Undamaged,March 1922,124,
Coylet,8-Feb-1922,Fire,Southwest of Sand Key,Not Stated,March 1922,124,
Coylet,8-Feb-1922,Fire,Florida Coast,Abandoned,April 1922,171,
Imperia,8-Feb-1922,Gale,Marseilles,Slight Damage,March 1922,124,
Norman B. Strong,8-Feb-1922,Sinking Condition,At Sea,Abandoned,March 1922,125,
Northern Pacific,8-Feb-1922,Fire,Five Fathom Bank,Total loss,March 1922,125,
