0,1,2,3,4,5,6,7
Bankdale,3-Nov-1921,Fire,At Sea,Damage to cargo,January 1922,30,
Carrier Dove,3-Nov-1921,Stranded,Molokai Islands,Total loss,January 1922,30,
Leonora Silveria,3-Nov-1921,Stranded,Peaked Hill,Not Stated,January 1922,30,
Manatee,3-Nov-1921,Disabled,At Sea,Steerer disabled,January 1922,30,
Pat Harrison,3-Nov-1921,Collision,Mobile,Slight Damage,January 1922,31,
Rose City,3-Nov-1921,Struck Pier,San Francisco,Plates damaged,January 1922,31,
Spectator,3-Nov-1921,Disabled,San Francisco,Engine trouble,January 1922,31,
Bankdale,4-Nov-1921,Fire,At Sea,Cargo damaged,January 1922,30,
Coquitt,4-Nov-1921,Disabled,Bermuda,Feed pump trouble,January 1922,30,
Darden,4-Nov-1921,Disabled,At Sea,Machinery disabled,January 1922,30,
Isabel C. Harriss,4-Nov-1921,Disabled,At Sea,Leaking,January 1922,30,
M. M. Davis,4-Nov-1921,Disabled,Norfolk,Shaft broke,January 1922,30,
Shinyo Maru,4-Nov-1921,Fire,San Francisco,Undamaged,January 1922,31,
Violet Currie,4-Nov-1921,Ashore,Twillingate,Not Stated,January 1922,31,
Apache,5-Nov-1921,Collision,North of Fenwick Island Lightship,Not Stated,January 1922,30,
Bristol City,5-Nov-1921,Fire,New York,Slight,January 1922,30,
Casco,5-Nov-1921,Storm,At Sea,Steerer jammed,January 1922,30,
E. P. Theriase,5-Nov-1921,Stranded,Race Point,Not Stated,January 1922,30,
Gladys  M. Taylor,5-Nov-1921,Grounded,Half Moon Shoal,Jettison cargo,January 1922,30,
Singleton,5-Nov-1921,Collision,North of Fenwick Island Lightship,Abandoned,January 1922,31,
Frieda,6-Nov-1921,Disabled,Philadelphia,Propeller broke,January 1922,30,
Springfield,6-Nov-1921,Disabled,At Sea,Lost propeller blade,January 1922,31,
Steadfast,6-Nov-1921,Disabled,Off North Foreland,Steerer disabled,January 1922,31,
Bessie S.,7-Nov-1921,Ashore,Indian Island,Not Stated,January 1922,30,
Clintonia,7-Nov-1921,Not Stated,At Sea,Abandoned,January 1922,30,
Fulton,7-Nov-1921,Ashore,Fogo,Not Stated,January 1922,30,
James Jones,7-Nov-1921,Ashore,Seldom,Total loss,January 1922,30,
Jennie V. Merriam,7-Nov-1921,Fire,Bay of Fundy,Sank,January 1922,30,
Stormes,7-Nov-1921,Leaking,Bermuda,Not Stated,January 1922,31,
Cold Harbor,8-Nov-1921,Struck Log,Puget Sound,Undamaged,January 1922,30,
Ellen Little,8-Nov-1921,Disabled,Norfolk,Lost sails,January 1922,30,
H. F. Hillman,8-Nov-1921,Grounded,San Pedro,Not Stated,January 1922,30,
Peter McIntyre,8-Nov-1921,Struck Wreck,Tangler Sound,Disabled,January 1922,31,
Sehome,8-Nov-1921,Waterlogged,Jacksonville,Beyond Repair,January 1922,31,
W. H. Molher,8-Nov-1921,Fire,Baltimore,Destroyed,January 1922,31,
Collingsworth,9-Nov-1921,Disabled,Baltimore,Turbine engine trouble,January 1922,30,
Cordova,9-Nov-1921,Disabled,Seattle,Engine trouble,January 1922,30,
Donna Lane,9-Nov-1921,Grounded,Canal near Lake Union,Jettison cargo,January 1922,30,
K. I. Luckenbach,9-Nov-1921,Disabled,San Pedro,Boiler Trouble,January 1922,30,
L. D. Leopold,9-Nov-1921,Collision,Philadelphia,Not Stated,January 1922,30,
Pallas,9-Nov-1921,Disabled,North of Anacapa Island,Broke line shaft,January 1922,31,
Philadelphia,9-Nov-1921,Collision,Philadelphia,Considerable damage,January 1922,31,
Queen Margaret,9-Nov-1921,Fire,Astoria,Slight Damage,January 1922,31,
Robin Adair,9-Nov-1921,Fire,SanFrancisco,Slight Damage,January 1922,31,
Worden,9-Nov-1921,Disabled,Galveston,Propeller Trouble,January 1922,31,
C. F. Moll,10-Nov-1921,Ashore,Sturgeon Point,Plates damaged,January 1922,30,
Derbyline,10-Nov-1921,Grounded,Above Mobile,Not Stated,January 1922,30,
James J. Murray,10-Nov-1921,Capsized,Governor's Island,Not Stated,January 1922,30,
Kaisho  Maru,10-Nov-1921,Listed,Tacoma,Jettison cargo,January 1922,30,
Kennecott,10-Nov-1921,Collision,San Francisco,Not Stated,January 1922,30,
L. R. Davidson,10-Nov-1921,Struck Shoal,Seneca Shoal,Leaking,January 1922,30,
Lady of Grape,10-Nov-1921,Ran Ashore,Halifax Harbor,Total loss,January 1922,30,
Meteor,10-Nov-1921,Disabled,Eagle Harbor,Leaking,January 1922,30,
Sausalito,10-Nov-1921,Collision,San Francisco,Damaged aft,January 1922,31,
Texan,10-Nov-1921,Collision,San Francisco,Plate dented,January 1922,31,
Parisiana,11-Nov-1921,Collision,River Mersey,Slight Damage,January 1922,31,
Sinaloa,11-Nov-1921,Disabled,San Francisco,Tanks disabled,January 1922,31,
Turcoman,11-Nov-1921,Collision,River Mersey,Slight Damage,January 1922,31,
Admiral Evans,12-Nov-1921,Struck wharves,San Francisco,Undamaged,January 1922,30,
San Francisco,12-Nov-1921,Fire,Northwest of Azores,Not Stated,January 1922,31,
Andevalo,13-Nov-1921,Heavy  Sea,Cape  Race,Lost sails,January 1922,30,
Avon Queen,13-Nov-1921,Heavy Storm,Off West Point,Windlass damaged,January 1922,30,
Cold Harbor,13-Nov-1921,Grounded,Grays Harbor,Not Stated,January 1922,30,
Nika,13-Nov-1921,Disabled,Delaware Breakwater,Boiler Trouble,January 1922,31,
Providence,13-Nov-1921,Ashore,Cape Cod Canal,Leaking badly,January 1922,31,
Rambler,13-Nov-1921,Sprang Leak,Off Tampico,Sank,January 1922,31,
Say When,13-Nov-1921,Disabled,New York,Boiler Trouble,January 1922,31,
West Carnifax,13-Nov-1921,Disabled,Baltimore,Steerer Trouble,January 1922,31,
Wurttemberg,13-Nov-1921,Disabled,Cuxhaven,Engine trouble,January 1922,31,
Bagdad,14-Nov-1921,Disabled,Jacksonville,Bottom up damaged,January 1922,30,
Elsie K.,14-Nov-1921,In Tow,Jamaica Bay,Engine trouble,January 1922,30,
Halcyon,14-Nov-1921,Disabled,Jacksonville,Leaking and rudder gone,January 1922,30,
